,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC,MUSE-SBSD,MUSE-SBSE
65,0.00921873,0.00041388432,0.0046066074,0.008874895,0.0024098563
66,0.008068944,0.001294207,0.012089241,0.010209075,0.0049274983
67,0.011780294,0.0012126042,0.015759706,0.013162893,0.0072595635
68,0.0011406863,0.000316535,0.0013757425,0.005022502,0.0009838516
69,0.001420907,0.0002814253,0.0006690944,0.002736102,0.00051592913
70,0.003074167,0.0005184218,0.002048323,0.0064496547,0.0015177687
71,0.004009665,0.00090543117,0.0009799143,0.007599755,0.0016235653
72,0.01617561,0.03447149,0.017068416,0.02018312,0.023551853
73,0.010168655,0.014982631,0.015227306,0.02103286,0.015888805
74,0.00302102,0.0030955528,0.0025080247,0.0024402326,0.0032719471
75,0.03171417,0.020563552,0.013902609,0.02316914,0.018722534
76,0.0042783236,0.17554618,0.020134564,0.01252756,0.07731945
77,0.0032819428,0.03809941,0.005518339,0.014099109,0.01941267
78,0.0017944783,0.0072238385,0.002191577,0.006871751,0.00425143
79,0.013731579,0.21852155,0.023358595,0.009764539,0.1018932
80,0.053007614,0.24508688,0.05833597,0.025292888,0.0974163
81,0.023663417,0.048470117,0.02600677,0.023343058,0.028449211
82,0.06397886,0.029376794,0.0068282858,0.0041407538,0.013714952
83,0.031375505,0.1164514,0.043440364,0.028700516,0.06517054
84,0.015737914,0.002513582,0.009080605,0.012430547,0.007485333
85,0.0033008722,0.0006602295,0.0035273787,0.008955928,0.003030236
86,0.0013095206,0.00073573744,0.0076002562,0.006571782,0.0036297906
87,0.0082213525,0.0026473752,0.007897377,0.018302701,0.0077675683
88,0.010802181,0.0016763897,0.0376649,0.012743382,0.013908884
89,0.008922326,0.0009824124,0.00565579,0.010965399,0.003810238
90,0.00813708,0.0011287349,0.01441549,0.008271274,0.0050788377
91,0.011632377,0.0024591899,0.017009275,0.016857324,0.009206766
92,0.0019772989,0.0005885238,0.004355023,0.011826605,0.0030476502
93,0.0025106845,0.00038962185,0.0012842473,0.0075415447,0.0014984478
94,0.002756704,0.00065704074,0.0031626609,0.010897329,0.0022439414
95,0.010165521,0.0026813284,0.0052426592,0.026787113,0.0069064833
